id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level
18292,New York State Commission Of Correction,new-york-state-commission-of-correction,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/new-york-state-commission-of-correction-18292/,8,0,0,False,True,True,True,1,0,0,1,0,0,0,0,0,0,0,0,United States of America,,f
18300,Nevada State Purchasing Division,nevada-state-purchasing-division,approved,,,,,http://purchasing.nv.gov/contact/Hours_and_Location/,,,,https://www.muckrock.com/agency/carson-city-8862/nevada-state-purchasing-division-18300/,6,0,0,False,True,True,True,1,0,0,1,0,0,0,0,0,0,0,0,Carson City,Nevada,l
18308,Alabama State Department Of Education,alabama-state-department-of-education,approved,,,,,,,,,https://www.muckrock.com/agency/montgomery-811/alabama-state-department-of-education-18308/,0,0,0,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,Montgomery,Alabama,l
18312,"Department Of Health Services, State Of Wisconsin",department-of-health-services-state-of-wisconsin,approved,,,,,https://www.dhs.wisconsin.gov/des/openrecords.htm,,,,https://www.muckrock.com/agency/madison-721/department-of-health-services-state-of-wisconsin-18312/,17,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Madison,Wisconsin,l
18379,State Of North Dakota Private Investigation And Security Board,state-of-north-dakota-private-investigation-and-security-board,approved,,,,,,,,,https://www.muckrock.com/agency/bismarck-23702/state-of-north-dakota-private-investigation-and-security-board-18379/,0,0,0,False,False,False,True,1,0,0,0,0,0,1,0,0,0,0,0,Bismarck,North Dakota,l
18463,New Jersey State Commission Of Investigation,new-jersey-state-commission-of-investigation,approved,,,,,,,,,https://www.muckrock.com/agency/trenton-7254/new-jersey-state-commission-of-investigation-18463/,2,0,0,False,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0,Trenton,New Jersey,l
18465,Oklahoma State Bureau Of Investigation,oklahoma-state-bureau-of-investigation,approved,,,,,https://osbi.ok.gov/news-and-publications/public-information-officer,,,,https://www.muckrock.com/agency/oklahoma-city-341/oklahoma-state-bureau-of-investigation-18465/,0,0,0,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,Oklahoma City,Oklahoma,l
18466,Investigation Division State Of Nevada,investigation-division-state-of-nevada,approved,,,,,https://dps.nv.gov/resources/Public_Records_Request/,,,,https://www.muckrock.com/agency/carson-city-8862/investigation-division-state-of-nevada-18466/,10,0,0,True,True,False,True,1,0,0,1,0,0,0,0,0,0,0,0,Carson City,Nevada,l
18468,State Bureau Of Investigation - Alabama Law Enforcement Agency,state-bureau-of-investigation-alabama-law-enforcement-agency,approved,,,,,https://www.alea.gov/sbi/sbi-contact-information,,,,https://www.muckrock.com/agency/montgomery-811/state-bureau-of-investigation-alabama-law-enforcement-agency-18468/,100,0,0,False,True,False,True,1,0,0,1,0,0,0,0,0,0,0,0,Montgomery,Alabama,l
18469,Maine State Bureau Of Identification,maine-state-bureau-of-identification,approved,,,,,,,,,https://www.muckrock.com/agency/augusta-6033/maine-state-bureau-of-identification-18469/,14,0,0,False,True,False,True,1,0,1,0,0,0,0,0,0,0,0,0,Augusta,Maine,l
18499,Washington County State's Attorney,washington-county-states-attorney,approved,,,,,,,,,https://www.muckrock.com/agency/washington-county-3786/washington-county-states-attorney-18499/,41,0,100,False,True,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Washington County,Vermont,l
18507,New Mexico State Board Of Pharmacy,new-mexico-state-board-of-pharmacy,approved,,,,,,,,,https://www.muckrock.com/agency/albuquerque-343/new-mexico-state-board-of-pharmacy-18507/,0,0,0,False,True,True,True,1,0,0,0,0,1,0,0,0,0,0,0,Albuquerque,New Mexico,l
18601,Truman State University,truman-state-university,approved,,,,,https://www.truman.edu/about/our-people/presidents-office/presidents-office-staff/,,,,https://www.muckrock.com/agency/kirksville-19938/truman-state-university-18601/,12,0,100,False,True,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Kirksville,Missouri,l
18612,Arizona State Board Of Technical Registration,arizona-state-board-of-technical-registration,approved,,,,,https://btr.az.gov/public-information-request,,,,https://www.muckrock.com/agency/phoenix-94/arizona-state-board-of-technical-registration-18612/,0,100,0,False,True,True,True,1,0,0,0,0,0,0,0,1,0,0,0,Phoenix,Arizona,l
18617,Division Of Corporations - Florida Department Of State,division-of-corporations-florida-department-of-state,approved,,,,,https://dos.myflorida.com/sunbiz/other-services/subpoenas-and-public-records-exemption-requests/,,,,https://www.muckrock.com/agency/tallahassee-10211/division-of-corporations-florida-department-of-state-18617/,0,0,0,False,True,False,True,1,0,0,0,0,0,1,0,0,0,0,0,Tallahassee,Florida,l
18619,Maryland Secretary Of State,maryland-secretary-of-state,approved,,,,,https://sos.maryland.gov/Pages/Public-Records-Request.aspx,,,,https://www.muckrock.com/agency/annapolis-16496/maryland-secretary-of-state-18619/,0,0,0,False,True,False,True,1,0,0,0,0,0,1,0,0,0,0,0,Annapolis,Maryland,l
18624,Alarm Systems Licensing Board Of The State Of North Carolina,alarm-systems-licensing-board-of-the-state-of-north-carolina,approved,,,,,,,,,https://www.muckrock.com/agency/raleigh-346/alarm-systems-licensing-board-of-the-state-of-north-carolina-18624/,15,0,100,False,True,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Raleigh,North Carolina,l
18626,Commonwealth Of Virginia State Corporation Commission,commonwealth-of-virginia-state-corporation-commission,approved,,,,,,,,,https://www.muckrock.com/agency/richmond-151/commonwealth-of-virginia-state-corporation-commission-18626/,0,0,100,False,True,False,True,1,1,0,0,0,0,0,0,0,0,0,0,Richmond,Virginia,l
18634,Washington State Gambling Commission,washington-state-gambling-commission,approved,,,,,https://www.wsgc.wa.gov/about-us/public-records,,,,https://www.muckrock.com/agency/olympia-68/washington-state-gambling-commission-18634/,12,0,100,False,True,False,True,1,0,0,0,0,0,0,0,0,1,0,0,Olympia,Washington,l
18641,Idaho State Board Of Pharmacy,idaho-state-board-of-pharmacy,approved,,,,,,,,,https://www.muckrock.com/agency/boise-10694/idaho-state-board-of-pharmacy-18641/,60,0,0,False,True,True,True,1,0,0,0,0,0,1,0,0,0,0,0,Boise,Idaho,l
18764,Chicago City Council Committee On Housing And Real Estate,chicago-city-council-committee-on-housing-and-real-estate,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/chicago-city-council-committee-on-housing-and-real-estate-18764/,0,0,0,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,United States of America,,f
18818,"North Dakota State University, Advanced Traffic Analysis Center",north-dakota-state-university-advanced-traffic-analysis-center,approved,,,,,,,,,https://www.muckrock.com/agency/north-dakota-232/north-dakota-state-university-advanced-traffic-analysis-center-18818/,0,0,0,False,True,False,True,1,0,0,0,1,0,0,0,0,0,0,0,North Dakota,United States of America,s
18866,Columbus State University,columbus-state-university,approved,,,,,https://generalcounsel.columbusstate.edu/open_records_act_request.php,,,,https://www.muckrock.com/agency/columbus-5099/columbus-state-university-18866/,35,0,100,True,True,True,True,1,1,0,0,0,0,0,0,0,0,0,0,Columbus,Georgia,l
18969,State University Of New York Brockport,state-university-of-new-york-brockport,approved,,,,,https://www.brockport.edu/support/policies/adopted/af_hr_freedom_information_request.html,,,,https://www.muckrock.com/agency/new-york-16/state-university-of-new-york-brockport-18969/,0,0,0,False,True,True,True,1,0,0,0,0,0,1,0,0,0,0,0,New York,United States of America,s
